Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	3418563	3418581	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.105263	0.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	20096103	20096482	379	1	23.502857	0.821448	0	60	0	0	60	60	1127.806452	1144.789105	0.677419	0	3151	15.548387	12.590575	2	33	1.516129	1.091512	0	3	-14.032258	11.605987	-30	-1	20.648148	1.559837	0.074286	59.466667	4.131182	0	60	60	1002.85	1209.3336	0.633333	0	2853	7.633333	11.94616	0	33	2.666667	2.072145	0	5	-4.966667	12.306766	-30	5	20.338983	1.805972	0.068421	59.466667	4.131182	0	60	60	1002.85	1209.3336	0.633333	0	2853	7.633333	11.94616	0	33	2.666667	2.072145	0	5	-4.966667	12.306766	-30	5	1	7	0.018421	0	0	0.565789	0.131579	0	20.185185	1.812315	0.074286	59.466667	4.131182	0	60	60	1002.85	1209.3336	0.633333	0	2853	7.633333	11.94616	0	33	2.666667	2.072145	0	5	-4.966667	12.306766	-30	5	17.509972	0.704506	0	60	0	0	60	60	869.275862	1281.308731	0.586207	0	2649	0.068966	0.371391	0	0	4.310345	1.754656	0	5	4.241379	1.76585	0	5
3	1	30878515	30878560	45	0	14.78	0.414839	0	60	0	0	60	60	38.6875	97.958303	0.25	0	92	3.25	3.530817	0	9	0.25	0.68313	0	2	-3	3.577709	-9	0	12.191489	0.741277	0	60	0	0	60	60	38.6875	97.958303	0.25	0	92	3.25	3.530817	0	9	0.25	0.68313	0	2	-3	3.577709	-9	0	12.191489	0.741277	0	60	0	0	60	60	38.6875	97.958303	0.25	0	92	3.25	3.530817	0	9	0.25	0.68313	0	2	-3	3.577709	-9	0	0	0	0	1	0.021739	0.521739	0	0	12.191489	0.741277	0	60	0	0	60	60	38.6875	97.958303	0.25	0	92	3.25	3.530817	0	9	0.25	0.68313	0	2	-3	3.577709	-9	0	11.464387	0.95813	0	60	0	0	60	60	140.631579	327.317245	0.210526	0	842	3.368421	2.752989	0	7	0.210526	0.630604	0	2	-3.157895	2.813917	-7	0
4	1	33652353	33652452	99	0	4.388571	0.488123	1	57.1	9.170605	0	31	60	906.3	1555.463279	0.4	0	2878	0.5	1.269296	0	1	1	0.816497	0	2	0.5	1.269296	-2	2	6.833333	3.456558	0.66	58.925926	5.581053	0	60	60	794.814815	1248.40181	0.592593	0	2878	0.185185	0.786278	0	0	0.444444	0.751068	0	2	0.259259	0.859006	0	2	6.833333	3.456558	0.66	58.925926	5.581053	0	60	60	794.814815	1248.40181	0.592593	0	2878	0.185185	0.786278	0	0	0.444444	0.751068	0	2	0.259259	0.859006	0	2	0	9	0.09	17	0.17	0.44	0.78	0	6.833333	3.456558	0.66	58.925926	5.581053	0	60	60	794.814815	1248.40181	0.592593	0	2878	0.185185	0.786278	0	0	0.444444	0.751068	0	2	0.259259	0.859006	0	2	11	0	0	60	0	0	60	60	688.722222	1058.601453	0.666667	0	1720	0	0	0	0	0.222222	0.646762	0	2	0.222222	0.646762	0	2
5	1	77938420	77938472	52	0	4.991429	0.092316	1	60	0	0	60	60	521.875	819.27275	0.375	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	4.462963	0.503308	1	60	0	0	60	60	521.875	819.27275	0.375	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	4.462963	0.503308	1	60	0	0	60	60	521.875	819.27275	0.375	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.037736	0.528302	1	0	4.462963	0.503308	1	60	0	0	60	60	521.875	819.27275	0.375	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	5.014245	0.232556	0.994302	60	0	0	60	60	691.714286	939.206083	0.5	0	2316	0.142857	0.363137	0	1	0.071429	0.267261	0	0	-0.071429	0.474631	-1	0
6	1	245823567	245823630	63	0	24.448571	0.49806	0	60	0	0	60	60	1219.195122	1521.694865	0.609756	0	3820	4.04878	4.743159	0	13	1.146341	6.864987	0	0	-2.902439	8.502367	-13	0	17.846154	8.918434	0	60	0	0	60	60	758.210526	1260.654236	0.434211	0	2566	4.565789	12.950506	0	11	3.078947	8.456576	0	6	-1.486842	9.039902	-6	5	17.846154	8.918434	0	60	0	0	60	60	758.210526	1260.654236	0.434211	0	2566	4.565789	12.950506	0	11	3.078947	8.456576	0	6	-1.486842	9.039902	-6	5	1	3	0.046875	9	0.140625	0.390625	0	0	17.846154	8.918434	0	60	0	0	60	60	758.210526	1260.654236	0.434211	0	2566	4.565789	12.950506	0	11	3.078947	8.456576	0	6	-1.486842	9.039902	-6	5	8.039886	0.195971	0	60	0	0	60	60	206.405405	463.751937	0.216216	0	892	5.351351	18.040412	0	11	5.324324	9.422355	0	9	-0.027027	9.257089	-3	6
7	1	247386171	247386196	25	0	17.48	2.139384	0	60	0	0	60	60	431.357143	862.045483	0.285714	0	1720	8.803571	4.874496	0	12	3.160714	2.708752	0	9	-5.642857	3.655275	-9	0	38.625	9.121463	0.076923	60	0	0	60	60	790.242991	1003.543738	0.542056	0	2374	4.140187	5.469381	0	12	1.457944	2.415674	0	3	-2.682243	3.730542	-8	0	38.625	9.121463	0.076923	60	0	0	60	60	790.242991	1003.543738	0.542056	0	2374	4.140187	5.469381	0	12	1.457944	2.415674	0	3	-2.682243	3.730542	-8	0	2	1	0.038462	1	0.038462	0.423077	0	0	38.625	9.121463	0.076923	60	0	0	60	60	790.242991	1003.543738	0.542056	0	2374	4.140187	5.469381	0	12	1.457944	2.415674	0	3	-2.682243	3.730542	-8	0	43.877493	0.887585	0	60	0	0	60	60	1023.728814	1020.881749	0.711864	0	2569	0.118644	0.375304	0	1	0	0	0	0	-0.118644	0.375304	-1	0
8	2	49087914	49087934	20	0	28.64	2.358087	0	60	0	0	60	60	731.90566	1317.201174	0.471698	0	2746	2.867925	5.629721	0	14	0.754717	0.829867	0	2	-2.113208	5.391091	-12	2	24	0	0.857143	60	0	0	60	60	861.311111	1391.759479	0.533333	0	3527	2.977778	5.630634	0	14	0.8	0.814639	0	2	-2.177778	5.453476	-12	2	24	0	0.857143	60	0	0	60	60	861.311111	1391.759479	0.533333	0	3527	2.977778	5.630634	0	14	0.8	0.814639	0	2	-2.177778	5.453476	-12	2	0	4	0.190476	6	0.285714	0.285714	0	0	24	0	0.857143	60	0	0	60	60	861.311111	1391.759479	0.533333	0	3527	2.977778	5.630634	0	14	0.8	0.814639	0	2	-2.177778	5.453476	-12	2	29.377143	0.966809	0	60	0	0	60	60	1052.632653	1543.965602	0.571429	0	3773	3.979592	4.155768	0	8	1.489796	1.769209	0	5	-2.489796	5.244531	-8	5
9	2	99737919	99738089	170	1	42.62	1.801353	0	59.904255	0.928279	0	60	60	621.925532	940.111195	0.595745	0	1488	0.904255	1.328506	0	3	0.5	0.668009	0	1	-0.404255	1.454094	-2	1	16.05814	5.446936	0	59.479167	4.274722	0	60	60	608.96875	934.438807	0.583333	0	1488	0.927083	1.355261	0	3	0.510417	0.680476	0	1	-0.416667	1.448532	-2	1	16.05814	5.446936	0	59.479167	4.274722	0	60	60	608.96875	934.438807	0.583333	0	1488	0.927083	1.355261	0	3	0.510417	0.680476	0	1	-0.416667	1.448532	-2	1	1	1	0.005848	2	0.011696	0.450292	0.795322	0.204678	16.05814	5.446936	0	59.479167	4.274722	0	60	60	608.96875	934.438807	0.583333	0	1488	0.927083	1.355261	0	3	0.510417	0.680476	0	1	-0.416667	1.448532	-2	1	15.997151	0.053376	0	60	0	0	60	60	426.604651	1057.741127	0.348837	0	1428	0.906977	1.493063	0	3	1.139535	0.559821	1	1	0.232558	1.428239	-2	1
10	2	134261844	134261903	59	0	20.651429	0.4772	0	60	0	0	60	60	757.117647	1221.207921	0.411765	0	2818	2.372549	4.715764	0	7	0	0	0	0	-2.372549	4.715764	-7	0	20	0	0.016667	60	0	0	60	60	772.26	1228.760348	0.42	0	2818	2.28	4.716623	0	7	0	0	0	0	-2.28	4.716623	-7	0	20	0	0.016667	60	0	0	60	60	772.26	1228.760348	0.42	0	2818	2.28	4.716623	0	7	0	0	0	0	-2.28	4.716623	-7	0	1	2	0.033333	2	0.033333	0.466667	0	0	20	0	0.016667	60	0	0	60	60	772.26	1228.760348	0.42	0	2818	2.28	4.716623	0	7	0	0	0	0	-2.28	4.716623	-7	0	40.217143	1.245619	0	60	0	0	60	60	1473.8	1725.172807	0.65	0	3900	0.083333	0.381419	0	0	0.033333	0.258199	0	0	-0.05	0.466687	0	0
