Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	145092949	145097090	4141	2	101.8	1.76726	0	59.965753	0.413803	0	60	60	482.260274	874.09691	0.39726	0	1484	3.130137	2.140782	0	5	1.746575	1.258415	1	4	-1.383562	2.105036	-4	1	43.97151	3.024526	0	59.963768	0.425628	0	60	60	510.217391	891.231099	0.42029	0	1538	3.202899	2.155148	0	5	1.724638	1.206843	1	3	-1.478261	2.086513	-4	1	34.542602	5.259932	0.000483	59.980392	0.313112	0	60	60	535.643137	1021.786606	0.364706	0	2144	2.34902	2.755051	0	5	1.352941	1.0122	1	3	-0.996078	2.622582	-4	1	2	8	0.001931	4	0.000966	0.411154	0.328827	0.016176	34.603989	5.74654	0	60	0	0	60	60	513.015504	1116.837527	0.271318	0	2673	1.868217	3.47846	0	8	1.147287	0.830105	0	2	-0.72093	3.208818	-6	1	69.350427	0.740458	0	60	0	0	60	60	493.873134	1099.981404	0.261194	0	2406	2.164179	4.214536	0	8	1.119403	0.832107	0	2	-1.044776	4.065009	-6	1
2	1	158867534	158870025	2491	2	9	0	0	60	0	0	60	60	290.787879	686.938032	0.272727	0	1292	1.69697	3.892981	0	4	6.30303	0.636634	6	7	4.606061	3.399811	3	6	9	0	0.997143	60	0	0	60	60	290.787879	686.938032	0.272727	0	1292	1.69697	3.892981	0	4	6.30303	0.636634	6	7	4.606061	3.399811	3	6	24.155556	2.364083	0.981942	59.119403	6.729677	0	60	60	435.835821	628.561479	0.492537	0	928	18.149254	20.917047	0	51	5.492537	1.428849	4	8	-12.656716	21.240008	-43	6	0	51	0.020465	7	0.002809	0.345506	0.216292	0.008828	24.5	0.505781	0.874286	58.264706	9.436579	0	60	60	576.617647	539.569919	0.705882	0	916	34.117647	18.081909	0	51	4.705882	1.547812	4	8	-29.411765	17.430586	-43	4	25.680912	0.478874	0	58.361111	9.17186	0	60	60	544.583333	540.780144	0.666667	0	916	34.388889	17.634832	0	51	4.444444	1.858485	4	8	-29.944444	17.112977	-44	4
3	2	3885213	3885333	120	1	5.491429	0.717114	0.64	60	0	0	60	60	334.206897	937.682035	0.206897	0	1569	0.137931	0.350931	0	1	0.275862	0.5914	0	1	0.137931	0.693034	-1	1	5	0	1	60	0	0	60	60	357.962963	968.695097	0.185185	0	1569	0.111111	0.320256	0	1	0.296296	0.608581	0	1	0.185185	0.68146	0	1	5	0	1	60	0	0	60	60	357.962963	968.695097	0.185185	0	1569	0.111111	0.320256	0	1	0.296296	0.608581	0	1	0.185185	0.68146	0	1	0	47	0.38843	0	0	0.446281	0	0	5	0	1	60	0	0	60	60	357.962963	968.695097	0.185185	0	1569	0.111111	0.320256	0	1	0.296296	0.608581	0	1	0.185185	0.68146	0	1	22	0	0	60	0	0	60	60	822.37037	833.008503	0.814815	0	1620	1.222222	3.522819	0	11	12.148148	3.047113	10	15	10.925926	3.452156	5	14
4	2	40446947	40447073	126	1	36.817143	1.551686	0	60	0	0	60	60	441.824561	867.608559	0.315789	0	1332	2	2.291288	0	6	16.877193	14.229083	0	33	14.877193	14.421054	-4	31	12.695312	4.835171	0.023438	60	0	0	60	60	493.803922	903.821332	0.352941	0	1332	1.862745	2.218284	0	5	17.078431	14.078129	0	32	15.215686	14.504225	-4	31	12.695312	4.835171	0.023438	60	0	0	60	60	493.803922	903.821332	0.352941	0	1332	1.862745	2.218284	0	5	17.078431	14.078129	0	32	15.215686	14.504225	-4	31	0	0	0	0	0	0.267717	0	0.220472	12.695312	4.835171	0.023438	60	0	0	60	60	493.803922	903.821332	0.352941	0	1332	1.862745	2.218284	0	5	17.078431	14.078129	0	32	15.215686	14.504225	-4	31	29.19943	2.999066	0	60	0	0	60	60	491.596154	1002.652018	0.307692	0	1733	1.673077	1.74582	0	4	0.192308	1.138256	0	0	-1.480769	2.146501	-4	0
5	2	104186941	104187136	195	1	31	0	0	60	0	0	60	60	668.196078	588.420361	0.627451	0	1290	0	0	0	0	0.117647	0.325396	0	1	0.117647	0.325396	0	1	31	0	0	60	0	0	60	60	668.196078	588.420361	0.627451	0	1290	0	0	0	0	0.117647	0.325396	0	1	0.117647	0.325396	0	1	31	0	0	60	0	0	60	60	668.196078	588.420361	0.627451	0	1290	0	0	0	0	0.117647	0.325396	0	1	0.117647	0.325396	0	1	1	3	0.015306	2	0.010204	0.336735	1	0	31	0	0	60	0	0	60	60	668.196078	588.420361	0.627451	0	1290	0	0	0	0	0.117647	0.325396	0	1	0.117647	0.325396	0	1	20.45584	2.424321	0	60	0	0	60	60	543.115385	633.023877	0.509615	0	1284	0.115385	0.741393	0	0	0.336538	1.274169	0	1	0.221154	1.500529	0	1
6	2	126443247	126451831	8584	2	38.462857	1.144336	0	60	0	0	60	60	367.546875	1009.389505	0.203125	0	1308	0.375	0.95119	0	1	2.296875	3.115143	0	7	1.921875	3.183812	0	7	25.196581	1.585142	0	60	0	0	60	60	379.403226	1023.572456	0.209677	0	1308	0.403226	0.999339	0	1	2.096774	3.033743	0	7	1.693548	3.185977	0	7	16.635104	7.002885	0.000466	60	0	0	60	60	217.805556	795.495478	0.12037	0	205	0.37037	0.972448	0	1	1.25	2.502802	0	7	0.87963	2.657093	-1	6	1	5	0.000582	1	0.000116	0.33873	0.60862	0.011648	31.925926	1.713871	0	60	0	0	60	60	0	0	0	0	0	0.078947	0.273276	0	0	0.078947	0.273276	0	0	0	0.402694	0	0	56.358974	1.247591	0	60	0	0	60	60	582.76	1154.188762	0.306667	0	2724	0.066667	0.251124	0	0	0.026667	0.162192	0	0	-0.04	0.304915	0	0
7	2	130242245	130251408	9163	2	42.14	3.806999	0	58.925926	7.8928	0	60	60	398.740741	873.224737	0.314815	0	1864	0.185185	0.478759	0	1	0.981481	0.788855	0	2	0.796296	0.832809	0	2	21.34188	1.510888	0	58.711111	8.64613	0	60	60	477.222222	938.418953	0.355556	0	2071	0.222222	0.517375	0	1	1.155556	0.73718	0	2	0.933333	0.83666	0	2	20.982542	2.802443	0	59.25641	6.567207	0	60	60	275.833333	747.837739	0.217949	0	1164	0.333333	0.595801	0	1	0.692308	0.794587	0	2	0.358974	1.044147	-1	2	1	9	0.000982	0	0	0.452204	0.518442	0	18.698006	0.740634	0	60	0	0	60	60	1.904762	8.728716	0.047619	0	0	0.571429	0.676123	0	1	0.047619	0.218218	0	0	-0.52381	0.601585	-1	0	26.458689	0.89307	0	59.880952	0.771517	0	60	60	296.309524	819.446854	0.190476	0	1032	0.357143	0.576847	0	1	0.309524	1.047368	0	0	-0.047619	1.167703	-1	0
8	2	215728762	215730831	2069	2	30.422857	0.835147	0	60	0	0	60	60	252.475	512.818656	0.275	0	976	1.4	3.410391	0	8	0.5	1.339728	0	4	-0.9	2.239505	-5	0	18.652422	1.201898	0	60	0	0	60	60	265.763158	523.040458	0.289474	0	1029	1.473684	3.485389	0	9	0.526316	1.37028	0	4	-0.947368	2.289192	-5	0	16.87832	1.418534	0	60	0	0	60	60	224.422222	489.425474	0.244444	0	976	2.022222	3.85822	0	9	0.8	1.61808	0	4	-1.222222	2.392117	-5	0	1	3	0.001449	1	0.000483	0.376328	0.753623	0	16.301994	0.459778	0	60	0	0	60	60	0	0	0	0	0	5.352941	4.689632	0	11	2.117647	2.057983	0	4	-3.235294	2.969205	-7	0	24.245014	0.63455	0	60	0	0	60	60	315.189189	816.325093	0.216216	0	1155	2.486486	4.120556	0	9	2.162162	2.020912	0	4	-0.324324	3.667076	-5	4
9	4	1086778	1086827	49	0	10	0	0	60	0	0	60	60	0	0	0	0	0	50	0	50	50	18.6	9.287985	0	23	-31.4	9.287985	-50	-27	0.196078	1.40028	0.980392	60	0	0	60	60	0	0	0	0	0	50	0	50	50	18.6	9.287985	0	23	-31.4	9.287985	-50	-27	0.196078	1.40028	0.980392	60	0	0	60	60	0	0	0	0	0	50	0	50	50	18.6	9.287985	0	23	-31.4	9.287985	-50	-27	0	9	0.18	5	0.1	0.66	0	0	0.196078	1.40028	0.980392	60	0	0	60	60	0	0	0	0	0	50	0	50	50	18.6	9.287985	0	23	-31.4	9.287985	-50	-27	9.507123	0.712605	0.002849	60	0	0	60	60	0	0	0	0	0	50	0	50	50	18.6	9.287985	0	23	-31.4	9.287985	-50	-27
10	4	31338488	31338686	198	1	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0.110553	11	0.055276	0.296482	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.868571	0.853031	0.751429	60	0	0	60	60	252	338.144939	0.666667	0	816	2.166667	0.408248	2	3	0.666667	1.21106	0	3	-1.5	1.378405	-3	1
11	4	44971997	44972168	171	1	25.271429	0.445333	0	60	0	0	60	60	1401.108696	1622.817813	0.565217	0	4149	0.23913	0.480036	0	1	5.978261	13.480008	0	37	5.73913	13.282294	0	36	25	0	0.988372	60	0	0	60	60	1432.244444	1627.201057	0.577778	0	4149	0.244444	0.48409	0	1	6.088889	13.611196	0	37	5.844444	13.412944	0	36	25	0	0.988372	60	0	0	60	60	1432.244444	1627.201057	0.577778	0	4149	0.244444	0.48409	0	1	6.088889	13.611196	0	37	5.844444	13.412944	0	36	0	11	0.063953	25	0.145349	0	0.046512	0.883721	25	0	0.988372	60	0	0	60	60	1432.244444	1627.201057	0.577778	0	4149	0.244444	0.48409	0	1	6.088889	13.611196	0	37	5.844444	13.412944	0	36	20.468571	0.538368	0	60	0	0	60	60	721.042553	1214.799195	0.404255	0	2437	0.191489	0.576281	0	1	0.468085	0.855953	0	2	0.276596	1.077479	0	2
12	4	162776135	162776212	77	0	27.177143	8.735367	0.002857	60	0	0	60	60	1.909091	9.752324	0.045455	0	0	26.772727	37.521382	0	81	0.886364	2.191059	0	2	-25.886364	36.546381	-79	0	0.379747	2.220555	0.974684	60	0	0	60	60	5.25	15.935286	0.125	0	23	71.3125	26.469401	4	84	2	2.921187	0	6	-69.3125	25.744174	-83	-4	0.379747	2.220555	0.974684	60	0	0	60	60	5.25	15.935286	0.125	0	23	71.3125	26.469401	4	84	2	2.921187	0	6	-69.3125	25.744174	-83	-4	0	0	0	0	0	0.25641	0	0.25641	0.379747	2.220555	0.974684	60	0	0	60	60	5.25	15.935286	0.125	0	23	71.3125	26.469401	4	84	2	2.921187	0	6	-69.3125	25.744174	-83	-4	14	0	0	60	0	0	60	60	0	0	0	0	0	75.533333	21.155434	79	84	2.133333	2.972893	0	6	-73.4	20.639075	-83	-69
13	4	190554616	190554727	111	1	18.58	1.676793	0	26.296296	8.425304	0	6	33	191.518519	562.285198	0.185185	0	657	45.111111	40.067571	0	89	2.518519	6.228782	0	18	-42.592593	38.060942	-89	1	18.061947	0.46834	0	23.636364	9.892605	0	6	31	226.666667	539.977064	0.242424	0	771	40.424242	36.969608	0	89	2.121212	5.677574	0	2	-38.30303	35.012038	-89	0	18.061947	0.46834	0	23.636364	9.892605	0	6	31	226.666667	539.977064	0.242424	0	771	40.424242	36.969608	0	89	2.121212	5.677574	0	2	-38.30303	35.012038	-89	0	1	1	0.008929	3	0.026786	0.339286	0.660714	0	18.061947	0.46834	0	23.636364	9.892605	0	6	31	226.666667	539.977064	0.242424	0	771	40.424242	36.969608	0	89	2.121212	5.677574	0	2	-38.30303	35.012038	-89	0	20.931624	0.322309	0	24.428571	8.711119	0	10	32	84.178571	244.88441	0.142857	0	631	39.75	33.011362	0	89	0.964286	3.7563	0	1	-38.785714	32.433815	-89	0
