Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Insert	L_Insert_sd	L_Insert_10_percentile	L_Insert_90_percentile	L_Dis_unmap	L_Dis_map	L_Dis_all	L_Dis_unmap_ratio	L_Dis_map_ratio	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Insert	LM_Insert_sd	LM_Insert_10_percentile	LM_Insert_90_percentile	LM_Dis_unmap	LM_Dis_map	LM_Dis_all	LM_Dis_unmap_ratio	LM_Dis_map_ratio	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Insert	M_Insert_sd	M_Insert_10_percentile	M_Insert_90_percentile	M_Dis_unmap	M_Dis_map	M_Dis_all	M_Dis_unmap_ratio	M_Dis_map_ratio	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Insert	RM_Insert_sd	RM_Insert_10_percentile	RM_Insert_90_percentile	RM_Dis_unmap	RM_Dis_map	RM_Dis_all	RM_Dis_unmap_ratio	RM_Dis_map_ratio	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Insert	R_Insert_sd	R_Insert_10_percentile	R_Insert_90_percentile	R_Dis_unmap	R_Dis_map	R_Dis_all	R_Dis_unmap_ratio	R_Dis_map_ratio	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	3418563	3418581	18	0	200.045714	20.615547	0	300.583082	88.488674	182	410	17	16	993	0.01712	0.016113	46.633528	16.317945	0.015595	29	60	2.1423	8.783089	0.076023	0	2	0.531189	1.343277	0	2	0.220273	0.903229	0	0	-0.310916	1.020673	-2	0	344.95	19.184629	0	259.734015	93.465863	148	382	40	27	391	0.102302	0.069054	32.969432	14.375975	0.058952	29	60	5.231441	12.529656	0.196507	0	16	1.851528	2.171984	0	5	0.746725	1.457359	0	3	-1.104803	1.849342	-4	1	344.95	19.184629	0	259.734015	93.465863	148	382	40	27	391	0.102302	0.069054	32.969432	14.375975	0.058952	29	60	5.231441	12.529656	0.196507	0	16	1.851528	2.171984	0	5	0.746725	1.457359	0	3	-1.104803	1.849342	-4	1	2	0	0	2	0.105263	0.684211	0	0	344.95	19.184629	0	259.734015	93.465863	148	382	40	27	391	0.102302	0.069054	32.969432	14.375975	0.058952	29	60	5.231441	12.529656	0.196507	0	16	1.851528	2.171984	0	5	0.746725	1.457359	0	3	-1.104803	1.849342	-4	1	273.310541	122.806295	0	272.003281	90.960718	154	385	43	9	1219	0.035275	0.007383	42.244689	15.518465	0.004721	29	60	4.399685	10.65674	0.192762	0	16	1.130606	1.927897	0	4	0.355625	0.974177	0	1	-0.77498	1.632264	-3	0
2	1	20096103	20096482	379	1	204.148571	18.055651	0	321.748889	72.723142	236	407	18	17	900	0.02	0.018889	53.964706	13.418636	0.018182	29	60	0.251337	2.76796	0.008556	0	0	0.002139	0.046225	0	0	0.004278	0.09245	0	0	0.002139	0.080121	0	0	190.900285	31.038663	0	290.065455	76.117057	189	392	141	169	825	0.170909	0.204848	37.480176	18.932007	0.111894	0	60	10.246696	20.772576	0.244934	0	49	0.006167	0.106891	0	0	0.223789	0.690805	0	1	0.217621	0.69974	0	1	189.548556	30.242457	0	288.404086	76.984577	188	391	149	177	881	0.169126	0.200908	37.246065	18.852089	0.111848	0	60	9.649544	20.282637	0.230323	0	47	0.0058	0.103662	0	0	0.210439	0.671962	0	1	0.20464	0.680487	0	1	1	7	0.018421	0	0	0.565789	0.131579	0	184.655271	26.209992	0	284.623602	77.794529	185	391	148	165	805	0.183851	0.204969	36.404293	18.365952	0.110018	0	60	10.41771	20.884298	0.248658	0	49	0.006261	0.107699	0	0	0.227191	0.695486	0	1	0.22093	0.704526	0	1	219.504274	18.611037	0	307.176802	77.425873	204	402	63	17	888	0.070946	0.019144	48.859504	15.535891	0.017562	29	60	0.239669	2.123975	0.014463	0	0	0.003099	0.055613	0	0	0.002066	0.045431	0	0	-0.001033	0.055689	0	0
3	1	30878515	30878560	45	0	234.248571	23.842449	0	313.853958	75.351719	224	405	94	92	897	0.104794	0.102564	49.449677	18.673229	0.084949	29	60	1.808864	9.390552	0.043398	0	0	0	0	0	0	0.001847	0.060774	0	0	0.001847	0.060774	0	0	108.978723	17.312335	0	318.84689	76.030456	227	418	12	4	209	0.057416	0.019139	50.764444	14.985486	0.017778	29	60	8.253333	19.02871	0.191111	0	40	0	0	0	0	0	0	0	0	0	0	0	0	108.978723	17.312335	0	318.84689	76.030456	227	418	12	4	209	0.057416	0.019139	50.764444	14.985486	0.017778	29	60	8.253333	19.02871	0.191111	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.021739	0.521739	0	0	108.978723	17.312335	0	318.84689	76.030456	227	418	12	4	209	0.057416	0.019139	50.764444	14.985486	0.017778	29	60	8.253333	19.02871	0.191111	0	40	0	0	0	0	0	0	0	0	0	0	0	0	193.011396	30.535972	0	313.500741	79.103853	211	405	185	181	675	0.274074	0.268148	41.408261	22.416329	0.173871	0	60	3.24976	12.753471	0.07877	0	0	0.001921	0.061988	0	0	0.005764	0.097888	0	0	0.003842	0.097983	0	0
4	1	33652353	33652452	99	0	210.691429	28.539957	0	313.595874	69.734146	224	403	88	88	824	0.106796	0.106796	42.068	19.44792	0.089	25	60	0.568	2.872913	0.036	0	1	0.001	0.031623	0	0	0.022	0.208709	0	0	0.021	0.211196	0	0	149.60396	29.511381	0	311.333333	71.345881	223	406	75	52	339	0.221239	0.153392	29.763948	14.244262	0.113734	0	60	12.766094	21.512462	0.360515	0	54	0	0	0	0	0.04721	0.303957	0	0	0.04721	0.303957	0	0	149.60396	29.511381	0	311.333333	71.345881	223	406	75	52	339	0.221239	0.153392	29.763948	14.244262	0.113734	0	60	12.766094	21.512462	0.360515	0	54	0	0	0	0	0.04721	0.303957	0	0	0.04721	0.303957	0	0	1	9	0.09	17	0.17	0.44	0.78	0	149.60396	29.511381	0	311.333333	71.345881	223	406	75	52	339	0.221239	0.153392	29.763948	14.244262	0.113734	0	60	12.766094	21.512462	0.360515	0	54	0	0	0	0	0.04721	0.303957	0	0	0.04721	0.303957	0	0	249.293447	21.560995	0	313.98715	70.721072	227	411	203	157	856	0.23715	0.183411	43.351151	20.792588	0.128289	0	60	1.949013	8.70007	0.064145	0	0	0.002467	0.064103	0	0	0.001645	0.057354	0	0	-0.000822	0.028677	0	0
5	1	77938420	77938472	52	0	222.742857	15.520654	0	320.672887	74.316006	229	412	71	72	911	0.077936	0.079034	51.658444	17.162235	0.067362	29	60	0.497154	4.028565	0.019924	0	0	0.005693	0.086976	0	0	0.008539	0.126773	0	0	0.002846	0.0533	0	0	199.759259	12.426289	0	318.143911	73.338469	233	401	34	5	271	0.125461	0.01845	51.393548	14.297123	0.016129	29	60	5.180645	15.923958	0.122581	0	16	0.003226	0.056796	0	0	0.003226	0.056796	0	0	0	0	0	0	199.759259	12.426289	0	318.143911	73.338469	233	401	34	5	271	0.125461	0.01845	51.393548	14.297123	0.016129	29	60	5.180645	15.923958	0.122581	0	16	0.003226	0.056796	0	0	0.003226	0.056796	0	0	0	0	0	0	1	0	0	2	0.037736	0.528302	1	0	199.759259	12.426289	0	318.143911	73.338469	233	401	34	5	271	0.125461	0.01845	51.393548	14.297123	0.016129	29	60	5.180645	15.923958	0.122581	0	16	0.003226	0.056796	0	0	0.003226	0.056796	0	0	0	0	0	0	228.236467	17.555087	0	307.403946	72.850057	222	398	90	82	963	0.093458	0.085151	49.133921	18.07001	0.069604	29	60	3.266079	12.877583	0.07489	0	0	0.006167	0.078325	0	0	0.004405	0.066255	0	0	-0.001762	0.083974	0	0
6	1	245823567	245823630	63	0	226.865714	32.77057	0	303.664032	73.51057	212	398	182	183	759	0.239789	0.241107	39.751779	21.71953	0.161032	0	60	1.850534	7.952603	0.062278	0	0	0.024911	0.191778	0	0	0.010676	0.102818	0	0	-0.014235	0.183399	0	0	128.553846	21.645605	0	278.692623	80.877949	175	382	69	30	244	0.282787	0.122951	33.51312	15.513406	0.087464	29	60	20.556851	26.959936	0.48105	0	69	0.049563	0.276557	0	0	0.020408	0.141598	0	0	-0.029155	0.240056	0	0	128.553846	21.645605	0	278.692623	80.877949	175	382	69	30	244	0.282787	0.122951	33.51312	15.513406	0.087464	29	60	20.556851	26.959936	0.48105	0	69	0.049563	0.276557	0	0	0.020408	0.141598	0	0	-0.029155	0.240056	0	0	1	3	0.046875	9	0.140625	0.390625	0	0	128.553846	21.645605	0	278.692623	80.877949	175	382	69	30	244	0.282787	0.122951	33.51312	15.513406	0.087464	29	60	20.556851	26.959936	0.48105	0	69	0.049563	0.276557	0	0	0.020408	0.141598	0	0	-0.029155	0.240056	0	0	195.282051	20.35577	0	309.303311	71.926719	214	399	107	78	755	0.141722	0.103311	46.705319	18.976342	0.082979	29	60	1.910638	8.544221	0.060638	0	0	0.003191	0.056433	0	0	0.002128	0.046102	0	0	-0.001064	0.032616	0	0
7	1	247386171	247386196	25	0	252.885714	42.828218	0	304.20844	68.450932	212	390	239	244	782	0.305627	0.31202	39.709881	22.625084	0.188933	0	60	2.788933	11.755037	0.064822	0	0	0.008696	0.122295	0	0	0.016601	0.174867	0	0	0.007905	0.190604	0	0	106.333333	32.905459	0	292.497537	67.18722	204	373	54	37	203	0.26601	0.182266	30.639456	15.322448	0.12585	0	60	24.146259	27.132635	0.537415	0	67	0.003401	0.058321	0	0	0.102041	0.433018	0	0	0.098639	0.437724	0	0	106.333333	32.905459	0	292.497537	67.18722	204	373	54	37	203	0.26601	0.182266	30.639456	15.322448	0.12585	0	60	24.146259	27.132635	0.537415	0	67	0.003401	0.058321	0	0	0.102041	0.433018	0	0	0.098639	0.437724	0	0	1	1	0.038462	1	0.038462	0.423077	0	0	106.333333	32.905459	0	292.497537	67.18722	204	373	54	37	203	0.26601	0.182266	30.639456	15.322448	0.12585	0	60	24.146259	27.132635	0.537415	0	67	0.003401	0.058321	0	0	0.102041	0.433018	0	0	0.098639	0.437724	0	0	238.054131	25.996262	0	306.573691	72.80474	216	394	186	152	821	0.226553	0.18514	43.704918	20.91353	0.130285	0	60	3.128559	12.799633	0.069888	0	0	0.006903	0.109737	0	0	0.013805	0.154883	0	0	0.006903	0.176183	0	0
8	2	49087914	49087934	20	0	225.44	33.951518	0	311.517564	80.281212	218	408	97	95	854	0.113583	0.111241	43.785851	19.441189	0.08891	29	60	4.772467	15.240586	0.108987	0	15	0	0	0	0	0.028681	0.233835	0	0	0.028681	0.233835	0	0	28.625	51.396336	0.619048	294.692913	73.369743	213	389	14	6	127	0.110236	0.047244	31.401361	11.084767	0.040816	29	47	33.197279	25.881881	0.761905	0	71	0	0	0	0	0.231293	0.608929	0	1	0.231293	0.608929	0	1	28.625	51.396336	0.619048	294.692913	73.369743	213	389	14	6	127	0.110236	0.047244	31.401361	11.084767	0.040816	29	47	33.197279	25.881881	0.761905	0	71	0	0	0	0	0.231293	0.608929	0	1	0.231293	0.608929	0	1	0	4	0.190476	6	0.285714	0.285714	0	0	28.625	51.396336	0.619048	294.692913	73.369743	213	389	14	6	127	0.110236	0.047244	31.401361	11.084767	0.040816	29	47	33.197279	25.881881	0.761905	0	71	0	0	0	0	0.231293	0.608929	0	1	0.231293	0.608929	0	1	224.319088	49.53718	0	310.567633	73.850737	224	400	167	163	828	0.201691	0.19686	42.366149	21.304898	0.139896	0	60	5.805699	17.139553	0.117444	0	30	0.001727	0.041541	0	0	0.11658	0.464153	0	0	0.114853	0.46644	0	0
9	2	99737919	99738089	170	1	259.308571	16.09505	0	293.837	73.952684	190	379	200	198	1000	0.2	0.198	40.311159	21.16066	0.141631	0	60	6.414878	17.455934	0.150215	0	33	0.008584	0.13079	0	0	0	0	0	0	-0.008584	0.13079	0	0	226.104651	26.596631	0	292	78.298032	190	385	172	123	520	0.330769	0.236538	35.196319	19.749182	0.15092	0	60	10.874847	21.68813	0.253988	0	53	0.06135	0.345082	0	0	0.256442	0.436937	0	1	0.195092	0.49813	0	1	226.104651	26.596631	0	292	78.298032	190	385	172	123	520	0.330769	0.236538	35.196319	19.749182	0.15092	0	60	10.874847	21.68813	0.253988	0	53	0.06135	0.345082	0	0	0.256442	0.436937	0	1	0.195092	0.49813	0	1	2	1	0.005848	2	0.011696	0.450292	0.795322	0.204678	226.104651	26.596631	0	292	78.298032	190	385	172	123	520	0.330769	0.236538	35.196319	19.749182	0.15092	0	60	10.874847	21.68813	0.253988	0	53	0.06135	0.345082	0	0	0.256442	0.436937	0	1	0.195092	0.49813	0	1	248.877493	14.862199	0	312.07411	67.474532	223	390	66	9	1039	0.063523	0.008662	54.663375	12.10061	0.008079	29	60	0.158887	2.37024	0.004488	0	0	0.037702	0.268797	0	0	0.191203	0.393425	0	1	0.153501	0.416151	0	1
10	2	134261844	134261903	59	0	243	30.356148	0	306.866585	72.660897	220	400	206	205	817	0.252142	0.250918	41.631922	22.232007	0.166938	0	60	1.074919	5.735767	0.037459	0	0	0.047231	0.564691	0	0	0.026059	0.321931	0	0	-0.021173	0.244665	0	0	149.377049	28.228333	0	285.038889	77.581989	196	385	86	8	180	0.477778	0.044444	37.744526	13.94286	0.029197	29	60	18.39781	26.932669	0.368613	0	66	0.025547	0.158069	0	0	0	0	0	0	-0.025547	0.158069	0	0	149.377049	28.228333	0	285.038889	77.581989	196	385	86	8	180	0.477778	0.044444	37.744526	13.94286	0.029197	29	60	18.39781	26.932669	0.368613	0	66	0.025547	0.158069	0	0	0	0	0	0	-0.025547	0.158069	0	0	1	2	0.033333	2	0.033333	0.466667	0	0	149.377049	28.228333	0	285.038889	77.581989	196	385	86	8	180	0.477778	0.044444	37.744526	13.94286	0.029197	29	60	18.39781	26.932669	0.368613	0	66	0.025547	0.158069	0	0	0	0	0	0	-0.025547	0.158069	0	0	246.68661	41.870533	0	303.90401	69.322542	212	382	192	187	823	0.233293	0.227217	40.439268	21.348932	0.14975	0	60	3.992512	14.290635	0.086522	0	0	0.008319	0.099611	0	0	0.002496	0.049917	0	0	-0.005824	0.08637	0	0
