Index	Chr	Start	End	SV_size	SV_Cat	Info	L_Cov	L_Cov_sd	L_Cov_pro	L_Insert	L_Insert_sd	L_Insert_10_percentile	L_Insert_90_percentile	L_Dis_unmap	L_Dis_map	L_Dis_all	L_Dis_unmap_ratio	L_Dis_map_ratio	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Insert	LM_Insert_sd	LM_Insert_10_percentile	LM_Insert_90_percentile	LM_Dis_unmap	LM_Dis_map	LM_Dis_all	LM_Dis_unmap_ratio	LM_Dis_map_ratio	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Insert	M_Insert_sd	M_Insert_10_percentile	M_Insert_90_percentile	M_Dis_unmap	M_Dis_map	M_Dis_all	M_Dis_unmap_ratio	M_Dis_map_ratio	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Insert	RM_Insert_sd	RM_Insert_10_percentile	RM_Insert_90_percentile	RM_Dis_unmap	RM_Dis_map	RM_Dis_all	RM_Dis_unmap_ratio	RM_Dis_map_ratio	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Insert	R_Insert_sd	R_Insert_10_percentile	R_Insert_90_percentile	R_Dis_unmap	R_Dis_map	R_Dis_all	R_Dis_unmap_ratio	R_Dis_map_ratio	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	82838	91667	8829	2	yes	62.523013	26.342574	0.332378	364.424242	98.129469	218	466	10	4	198	0.050505	0.020202	0.160377	1.527857	0.985849	0	0	0	0	0	0	0	0.009434	0.096898	0	0	0.004717	0.06868	0	0	-0.004717	0.119146	0	0	31.130159	23.361168	0.114286	380.689655	96.128684	231	484	7	8	174	0.04023	0.045977	0.232804	1.691274	0.978836	0	0	0	0	0	0	0	0.010582	0.102595	0	0	0.005291	0.072739	0	0	-0.005291	0.126211	0	0	46.910614	43.118861	0.225368	323.20157	78.667414	222	416	201	238	3567	0.05635	0.066723	4.927858	10.683112	0.806291	0	23	0.057164	1.181623	0.000749	0	0	0.190215	1.294862	0	0	0.034948	0.270528	0	0	-0.155267	1.233877	0	0	0	19	0.002152	40	0.00453	0.400453	0.654134	0.02684	35.792023	19.070083	0	333.384615	78.230879	253	421	15	11	156	0.096154	0.070513	10.747253	15.454866	0.648352	0	37	0.016484	0.127677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.424501	17.448844	0	324.096045	68.928726	245	413	6	6	354	0.016949	0.016949	2.639344	8.230979	0.89071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	2041460	2041556	96	0	asm	207.528571	8.354813	0	349.342134	88.77562	238	468	1	3	909	0.0011	0.0033	56.638554	9.113606	0.001095	37	60	0.170865	2.108708	0.007667	0	0	0.001095	0.033095	0	0	0.001095	0.033095	0	0	0	0.046829	0	0	135.397959	32.39853	0	371.257812	83.284511	271	481	1	3	256	0.003906	0.011719	45.007692	22.492898	0.019231	7	60	0.392308	4.475581	0.011538	0	0	0.011538	0.107002	0	0	0.015385	0.151421	0	0	0.003846	0.138889	0	0	135.397959	32.39853	0	371.257812	83.284511	271	481	1	3	256	0.003906	0.011719	45.007692	22.492898	0.019231	7	60	0.392308	4.475581	0.011538	0	0	0.011538	0.107002	0	0	0.015385	0.151421	0	0	0.003846	0.138889	0	0	1	1	0.010309	0	0	0.618557	0	0	135.397959	32.39853	0	371.257812	83.284511	271	481	1	3	256	0.003906	0.011719	45.007692	22.492898	0.019231	7	60	0.392308	4.475581	0.011538	0	0	0.011538	0.107002	0	0	0.015385	0.151421	0	0	0.003846	0.138889	0	0	172.02849	56.410681	0	354.594126	90.114489	257	475	3	6	749	0.004005	0.008011	46.930079	20.743298	0.01715	8	60	0.273087	3.312534	0.009235	0	0	0.002639	0.051333	0	0	0.003958	0.081175	0	0	0.001319	0.062939	0	0
3	1	2566130	2566582	452	1	yes	186.134286	21.698421	0	340.541772	110.12682	235	433	0	9	790	0	0.011392	57.052566	9.133361	0	60	60	0.469337	3.510278	0.020025	0	0	0.005006	0.086566	0	0	0	0	0	0	-0.005006	0.086566	0	0	69.669516	21.12951	0	349.618768	104.688171	242	483	2	4	341	0.005865	0.01173	41.783862	16.234089	0.008646	29	60	8.688761	14.908234	0.334294	0	32	0.674352	1.86402	0	3	0.26513	0.967101	0	1	-0.409222	1.911246	-3	0	63.92511	23.092838	0	342.707944	103.189538	237	454	2	4	428	0.004673	0.009346	40.264977	15.747761	0.006912	29	60	7.993088	14.55173	0.301843	0	31	0.605991	1.754983	0	3	0.253456	0.949194	0	1	-0.352535	1.814149	-2	0	0	0	0	5	0.011038	0.591612	0	0	56.871795	20.728947	0	337.811075	96.455805	234	454	2	2	307	0.006515	0.006515	35.733119	13.889524	0.009646	29	60	9.192926	15.107617	0.344051	0	33	0.810289	2.011104	0	4	0.315113	1.036618	0	1	-0.495177	2.074222	-3	0	171.361823	33.963806	0	350.467213	113.505565	237	459	1	9	732	0.001366	0.012295	51.059299	14.081956	0.001348	29	60	0.75876	5.463882	0.026954	0	0	0.039084	0.42185	0	0	0.024259	0.306395	0	0	-0.014825	0.460061	0	0
4	1	2911536	2911850	314	1	asm	232.828571	9.726005	0	349.861336	114.542365	232	505	4	13	988	0.004049	0.013158	52.824876	12.532554	0.00398	29	60	1.864677	8.98702	0.055721	0	0	0.004975	0.083351	0	0	0.000995	0.031544	0	0	-0.00398	0.062994	0	0	119.917722	20.860828	0	341.11597	92.323654	245	441	47	51	526	0.089354	0.096958	32.471154	18.967213	0.160256	0	60	4.185897	13.002311	0.121795	0	13	0.121795	0.475303	0	0	0.019231	0.159097	0	0	-0.102564	0.407466	0	0	119.917722	20.860828	0	341.11597	92.323654	245	441	47	51	526	0.089354	0.096958	32.471154	18.967213	0.160256	0	60	4.185897	13.002311	0.121795	0	13	0.121795	0.475303	0	0	0.019231	0.159097	0	0	-0.102564	0.407466	0	0	1	1	0.003175	0	0	0.542857	1	0	119.917722	20.860828	0	341.11597	92.323654	245	441	47	51	526	0.089354	0.096958	32.471154	18.967213	0.160256	0	60	4.185897	13.002311	0.121795	0	13	0.121795	0.475303	0	0	0.019231	0.159097	0	0	-0.102564	0.407466	0	0	240.279202	25.156915	0	340.734694	114.200914	234	478	4	12	1029	0.003887	0.011662	50.244019	14.073043	0.003828	29	60	3.094737	11.486358	0.087081	0	2	0.072727	0.372	0	0	0.011483	0.123263	0	0	-0.061244	0.318763	0	0
5	1	2919031	2919366	335	1	yes	175.134286	11.025457	0	352.741633	121.041798	232	511	5	5	747	0.006693	0.006693	49.377807	15.334798	0.005284	29	60	2.899604	11.073848	0.075297	0	2	0.002642	0.051366	0	0	0.006605	0.081056	0	0	0.003963	0.062869	0	0	100.596439	19.452408	0	326.379242	90.008466	222	417	1	1	501	0.001996	0.001996	56.079523	10.705848	0.001988	29	60	3.544732	12.741589	0.087475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.596439	19.452408	0	326.379242	90.008466	222	417	1	1	501	0.001996	0.001996	56.079523	10.705848	0.001988	29	60	3.544732	12.741589	0.087475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.589286	0.872024	0	100.596439	19.452408	0	326.379242	90.008466	222	417	1	1	501	0.001996	0.001996	56.079523	10.705848	0.001988	29	60	3.544732	12.741589	0.087475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.111111	14.675798	0	352.087121	123.485295	228	515	8	12	792	0.010101	0.015152	54.481527	12.52621	0.009852	29	60	2.222906	10.1513	0.059113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	7570071	7571526	1455	2	yes	215.342857	17.240658	0	317.478873	78.900543	214	414	17	75	852	0.019953	0.088028	52.851695	13.722721	0.018008	29	60	1.989407	10.093408	0.050847	0	0	0.011653	0.13376	0	0	0.003178	0.072747	0	0	-0.008475	0.12155	0	0	109.356125	13.83231	0	323.39313	77.981478	230	417	9	15	524	0.017176	0.028626	54.100365	13.148948	0.016423	29	60	3.29562	12.835488	0.085766	0	1	0.021898	0.169617	0	0	0.007299	0.104477	0	0	-0.014599	0.147392	0	0	119.086479	13.299	0	322.991548	75.532458	233	414	11	24	1893	0.005811	0.012678	56.96888	9.640883	0.005705	60	60	1.760892	9.498717	0.045643	0	0	0.00778	0.104102	0	0	0.004149	0.071918	0	0	-0.003631	0.093855	0	0	1	0	0	3	0.00206	0.504121	0.134615	0	132.045584	10.206059	0	322.024631	74.4643	239	413	2	8	609	0.003284	0.013136	56.92084	9.488122	0.003231	37	60	2.555735	11.357876	0.066236	0	0	0.004847	0.089817	0	0	0.006462	0.080191	0	0	0.001616	0.089933	0	0	210.450142	24.717309	0	323.028708	70.476864	235	407	13	71	836	0.01555	0.084928	54.288043	12.46779	0.01413	29	60	1.680435	9.316701	0.043478	0	0	0.005435	0.087106	0	0	0.006522	0.080537	0	0	0.001087	0.073753	0	0
7	1	9595612	9597666	2054	2	yes	245.857143	24.253724	0	319.165792	72.17995	231	405	2	127	953	0.002099	0.133263	52.299445	13.289663	0.001848	29	60	0.312384	2.6267	0.014787	0	0	0.012939	0.154545	0	0	0.071165	0.458772	0	0	0.058226	0.484097	0	0	137.347578	28.926685	0	323.402556	71.526829	239	411	0	26	626	0	0.041534	53.969325	12.592843	0	29	60	1.039877	5.615833	0.038344	0	1	0.027607	0.23353	0	0	0.133436	0.626343	0	0	0.105828	0.662465	0	0	123.228113	18.492532	0	325.536803	74.339589	235	417	5	55	2690	0.001859	0.020446	54.765091	11.795521	0.001818	29	60	0.792	5.161595	0.027636	0	0	0.056727	0.32544	0	0	0.052	0.362665	0	0	-0.004727	0.405912	0	0	1	0	0	8	0.003893	0.445255	0.899757	0.021898	119.834758	13.825485	0	324.484685	77.260502	232	426	1	25	555	0.001802	0.045045	56.010327	10.363725	0.001721	37	60	0.20654	2.194513	0.005164	0	0	0.065404	0.247451	0	0	0.001721	0.041487	0	0	-0.063683	0.251354	0	0	242.518519	37.127488	0	318.985777	68.656811	234	407	1	123	914	0.001094	0.134573	54.923892	11.013404	0.000963	37	60	0.231214	2.863077	0.004817	0	0	0.128131	0.340115	0	1	0.00289	0.053708	0	0	-0.125241	0.336925	-1	0
8	1	10482480	10483779	1299	2	yes	205.165714	11.403813	0	321.692875	71.211077	239	401	7	93	814	0.0086	0.114251	52.580963	13.114982	0.007659	29	60	0.681619	4.785469	0.022976	0	0	0.125821	0.372274	0	1	0.030635	0.201697	0	0	-0.095186	0.322094	0	0	124.433048	15.914968	0	328.379249	70.686059	246	416	4	27	559	0.007156	0.048301	56.40678	9.772138	0.00339	37	60	0.638983	4.209316	0.025424	0	0	0.020339	0.141277	0	0	0.018644	0.135379	0	0	-0.001695	0.041169	0	0	118.946195	15.724607	0	328.495863	72.179654	241	422	14	49	1692	0.008274	0.02896	56.551567	10.108028	0.006838	37	60	0.540741	4.033768	0.022792	0	0	0.011966	0.132403	0	0	0.031909	0.305977	0	0	0.019943	0.288809	0	0	1	0	0	7	0.005385	0.512308	0.706154	0	122.017094	19.157833	0	326.836842	74.352883	230	422	9	20	570	0.015789	0.035088	54.761269	12.394495	0.013356	29	60	0.691152	4.312202	0.033389	0	0	0.010017	0.152679	0	0	0.065109	0.481186	0	0	0.055092	0.471924	0	0	200.97151	12.114185	0	321.540609	73.257754	229	408	18	98	788	0.022843	0.124365	53.143805	13.152454	0.015487	29	60	0.426991	3.219401	0.024336	0	0	0.005531	0.110232	0	0	0.039823	0.371413	0	0	0.034292	0.358317	0	0
9	1	11682893	11683189	296	1	asm	218.957143	33.960552	0	352.273504	122.178479	230	573	3	8	936	0.003205	0.008547	56.406547	10.145375	0.002112	29	60	1.802534	9.646724	0.040127	0	0	0.006336	0.194974	0	0	0.006336	0.137794	0	0	0	0.07964	0	0	110.694631	8.176753	0	333.301688	89.339884	237	435	2	4	474	0.004219	0.008439	55.758333	11.097402	0.004167	29	60	3.345833	13.087994	0.075	0	0	0.002083	0.045644	0	0	0.00625	0.078892	0	0	0.004167	0.064482	0	0	110.694631	8.176753	0	333.301688	89.339884	237	435	2	4	474	0.004219	0.008439	55.758333	11.097402	0.004167	29	60	3.345833	13.087994	0.075	0	0	0.002083	0.045644	0	0	0.00625	0.078892	0	0	0.004167	0.064482	0	0	1	0	0	0	0	0.555556	0.13468	0	110.694631	8.176753	0	333.301688	89.339884	237	435	2	4	474	0.004219	0.008439	55.758333	11.097402	0.004167	29	60	3.345833	13.087994	0.075	0	0	0.002083	0.045644	0	0	0.00625	0.078892	0	0	0.004167	0.064482	0	0	214.267806	16.801091	0	357.192265	118.02787	246	573	8	10	905	0.00884	0.01105	54.950163	12.076927	0.008667	29	60	1.489707	7.731016	0.040087	0	0	0.026002	0.190262	0	0	0.008667	0.092745	0	0	-0.017335	0.146257	0	0
10	1	13419174	13419574	400	1	asm	193.091429	35.643534	0	343.709199	123.333509	241	443	95	134	674	0.14095	0.198813	0	0	1	0	0	0	0	0	0	0	0.00443	0.081439	0	0	0.028793	0.167317	0	0	0.024363	0.174493	0	0	158.669516	26.466349	0	318.769896	73.758193	233	407	123	93	578	0.212803	0.1609	0	0	1	0	0	0	0	0	0	0	0.003778	0.079315	0	0	0.031486	0.174738	0	0	0.027708	0.178936	0	0	158.61194	25.437296	0	319.424427	77.62631	231	411	175	145	655	0.267176	0.221374	0	0	1	0	0	0	0	0	0	0	0.003077	0.071582	0	0	0.025641	0.158143	0	0	0.022564	0.161816	0	0	1	0	0	0	0	0.376559	0.698254	0	157.065527	26.723424	0	318.579861	75.402529	232	414	164	130	576	0.284722	0.225694	0	0	1	0	0	0	0	0	0	0	0.003448	0.075775	0	0	0.016092	0.125902	0	0	0.012644	0.130771	0	0	202.225071	47.011525	0	342.583072	130.441053	220	449	174	128	638	0.272727	0.200627	0.024468	0.750177	0.998936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
