"ILL250","Moleculo","PacBio","PlatGen","Combined","1orMore","2orMore","3orMore","4orMore","SET"
0.9337,0.7793,0.4649,0.9545,0.9271,0.8153,0.9276,0.938,0.9193,1
0.6318,0.7814,0.5672,0.8998,0.8183,0.729,0.8495,0.8699,0.9016,1
0.9844,0.9432,0.6609,0.9735,0.9831,0.938,0.9809,0.9831,0.9722,1
0.9289,0.9328,0.9926,0.8435,0.9558,0.9827,0.9718,0.9748,0.9879,1
0.7949,0.4818,0.732,0.8153,0.765,0.7585,0.8174,0.8621,0.8925,1
0.9744,0.0486,0.4905,0.68,0.8617,0.8235,0.7242,0.5716,0.3365,1
0.9345,0.2736,0.3768,0.3526,0.7355,0.6401,0.4558,0.4558,0.5004,1
0.9957,0.9662,0.8816,0.9896,0.9926,0.9926,0.9913,0.9935,0.9918,1
0.4328,0.4722,0.9441,0.7658,0.7389,0.8816,0.7749,0.781,0.8248,1
0.768,0.843,0.8422,0.5546,0.8248,0.8062,0.8578,0.882,0.9341,1
0.8903,0.6639,0.7927,0.6899,0.8213,0.7979,0.8595,0.8985,0.9324,1
0.9076,0.8846,0.088,0.9744,0.9597,0.8474,0.9258,0.935,0.6041,1
0.7238,0.3239,0.516,0.6548,0.552,0.4944,0.5863,0.6487,0.6943,1
0.7997,0.6826,0.2888,0.7827,0.7121,0.5672,0.7415,0.8135,0.7723,1
0.9519,0.9432,0.1431,0.8803,0.938,0.879,0.9241,0.9432,0.7147,1
0.9818,0.8729,0.1609,0.9783,0.977,0.9037,0.9696,0.9527,0.7533,1
0.8374,0.9115,0.8556,0.9441,0.9389,0.9276,0.9549,0.9631,0.9796,1
0.9939,0.9523,0.7376,0.9918,0.9926,0.9714,0.9883,0.9887,0.9827,1
0.5152,0.1847,0.333,0.2697,0.2255,0.1362,0.1808,0.2637,0.3101,1
0.1609,0.6479,0.9141,0.0507,0.4579,0.7472,0.4553,0.248,0.2884,1
0.7424,0.1561,0.5737,0.8014,0.6284,0.572,0.6735,0.6826,0.5729,1
0.9337,0.99,0.6609,0.6891,0.9618,0.9744,0.9428,0.9432,0.9415,1
0.9024,0.085,0.8617,0.9267,0.882,0.8816,0.9098,0.9063,0.5781,1
0.6995,0.0789,0.4649,0.3339,0.3504,0.2771,0.2914,0.333,0.2628,1
0.9133,0.9818,0.84,0.9896,0.9861,0.9827,0.9844,0.9874,0.9861,1
0.9657,0.8951,0.0139,0.931,0.9384,0.8504,0.931,0.9406,0.2775,1
0.4471,0.4068,0.7693,0.6808,0.5451,0.5863,0.6032,0.6748,0.7554,1
0.4545,0.1696,0.6934,0.3747,0.3465,0.3127,0.3252,0.4094,0.418,1
0.9128,0.2979,0.902,0.7376,0.8417,0.8864,0.8764,0.8868,0.8304,1
0.7368,0.3205,0.5382,0.8487,0.709,0.631,0.7311,0.7389,0.7493,1
0.7984,0.3157,0.4766,0.4393,0.5399,0.467,0.4909,0.5516,0.5997,1
0.8504,0.4293,0.2103,0.5642,0.6062,0.4506,0.549,0.5429,0.5703,1
0.7762,0.0416,0.5672,0.1279,0.3699,0.3595,0.2914,0.1873,0.1639,1
0.2121,0.4601,0.6509,0.6331,0.3699,0.4124,0.4696,0.5048,0.5729,1
