Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	869441	870284	843	1	8.525714	3.697466	0.225714	758.53621	305.962883	734.059725	966.59838	70.068446	541.406013	-208.21154	111.35214	-688.467764	590.952103	-1056.152835	234.02563	1.008547	0.954649	1	769.980862	269.938443	734.059725	966.59838	59.476429	541.657235	-208.21154	-0.98762	-710.504433	556.635475	-1056.152835	-8.377725	2.107692	2.625341	0.868639	573.511504	407.256229	17.29156	966.59838	50.117827	459.019189	-208.21154	85.70184	-523.393677	570.256472	-1056.152835	54.22628	0	18	0.021327	33	0.0391	0.739336	0	0	3.868946	3.172188	0.683761	614.246778	389.629092	22.878995	966.59838	54.066247	476.082307	-208.21154	85.70184	-560.180531	573.015435	-1056.152835	54.22628	14.91453	3.969684	0.017094	462.465925	425.952573	-7.15109	919.555025	19.99045	408.738104	-223.01635	74.9055	-442.475475	562.004549	-1096.700275	63.89975
2	1	1598414	1598580	166	1	10.371429	1.465667	0.017143	6.473282	42.09903	-10.133835	13.55027	6.945213	72.369166	-36.17162	23.6736	0.471931	82.074894	-27.594185	35.65244	1.386905	0.773247	1	7.919591	39.75708	-7.255835	13.55027	2.94557	66.860982	-35.27019	13.029	-4.974021	73.58767	-27.594185	12.91879	1.386905	0.773247	1	7.919591	39.75708	-7.255835	13.55027	2.94557	66.860982	-35.27019	13.029	-4.974021	73.58767	-27.594185	12.91879	0	7	0.041916	7	0.041916	0.54491	0.964072	0	1.386905	0.773247	1	7.919591	39.75708	-7.255835	13.55027	2.94557	66.860982	-35.27019	13.029	-4.974021	73.58767	-27.594185	12.91879	7.068376	1.064168	0.059829	10.151121	38.800882	-7.255835	19.81241	3.072447	64.855663	-35.27019	12.90751	-7.078675	71.659087	-28.014355	14.94412
3	1	2911537	2911850	313	1	17.625714	1.135477	0	69.873478	176.762783	-95.17078	261.217895	-0.719807	139.52787	-154.68729	179.3403	-70.593285	215.062136	-269.04007	54.73027	11.438095	1.273871	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	11.438095	1.273871	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	1	1	0.003185	0	0	0.544586	1	0	11.438095	1.273871	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	15.321937	1.790946	0	27.489715	116.584417	-57.77027	233.041255	-7.383801	89.779367	-64.82078	11.68343	-34.873516	147.067792	-243.492865	16.791755
4	1	2919032	2919366	334	1	12.14	1.140728	0	144.567571	192.031671	-60.70468	335.400285	-11.341939	201.365097	-196.51915	79.1128	-155.909509	357.665107	-539.312795	104.53116	2.833333	0.966092	0.985119	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	2.833333	0.966092	0.985119	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	0	0	0	0	0	0.58806	0.871642	0	2.833333	0.966092	0.985119	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	8.974359	1.149869	0.014245	151.184862	182.755659	-33.556135	335.400285	-73.240399	86.890267	-196.51915	19.96703	-224.425261	244.345604	-539.312795	4.96162
5	1	6065982	6066638	656	1	10.802857	1.391127	0	115.685086	143.77503	-4.67758	335.3191	291.665152	383.777411	4.18715	1047.22098	175.980065	383.233862	-180.299445	795.98141	8.31339	1.705057	0.051282	69.607367	132.922615	-5.177525	251.23957	253.879833	356.22944	-5.90838	806.03709	184.272466	348.035285	-14.00261	692.700405	8.278116	1.489744	0.034954	63.831335	126.009095	-5.35881	251.23957	224.901465	344.519206	-6.90838	806.03709	161.070129	333.380096	-81.406285	692.700405	0	2	0.003044	64	0.097412	0.642314	0	0.86758	8.185185	1.164919	0.014245	89.926973	144.77577	-44.767615	335.3191	317.626563	379.925674	-5.90838	1047.22098	227.699591	384.128236	-180.299445	795.98141	9.578348	1.264454	0.005698	93.993826	157.966958	-44.767615	335.3191	354.267497	402.073581	-17.38587	1047.22098	260.273671	412.411194	-180.299445	795.98141
6	1	7570072	7571526	1454	2	15.611429	1.669853	0	76.757254	294.040783	-70.924125	105.26081	-54.605613	44.651832	-96.23766	-9.862	-131.362867	310.293556	-201.49847	-9.838735	5.507123	1.260082	0.407407	131.844457	404.636359	-70.924125	105.26081	-63.227309	46.672665	-104.36306	-20.9584	-195.071766	420.163017	-201.49847	-12.801125	4.14217	1.152786	0.857143	115.799485	391.705377	-76.740185	105.26081	-48.020292	70.732618	-104.36306	60.25623	-163.819777	417.758874	-201.49847	103.677535	0	0	0	3	0.002062	0.504467	0.134708	0	3.008547	0.342154	1	255.157702	646.664009	-85.0177	1403.20971	-50.995972	104.031969	-105.1178	134.46391	-306.153674	687.36853	-1507.57277	211.204095	5.789174	0.610384	0.153846	150.722248	553.883802	-112.222545	1403.20971	-14.691601	96.990817	-105.1178	134.46391	-165.413849	601.691489	-1507.57277	212.017415
7	1	9595643	9597706	2063	2	14.928571	1.093369	0	26.874555	233.889944	-20.594625	6.59208	-8.202609	44.136548	-44.05252	7.15375	-35.077164	246.834085	-54.748625	19.932375	9.173789	1.119182	0.002849	35.244333	272.335416	-25.108285	7.734985	-3.197969	52.756989	-59.88025	18.08532	-38.442302	288.188694	-67.691975	51.244315	7.724455	2.917653	0.139467	12.701182	176.56149	-18.549055	6.345425	-0.630705	36.355287	-23.24977	18.08532	-13.331887	187.412688	-13.71615	26.94504	0	0	0	9	0.00436	0.445736	0.900194	0.021802	11.678063	4.513668	0.011396	26.79551	272.092327	-27.712975	3.640305	1.316174	24.909978	-28.35198	34.91028	-25.479337	279.891335	-13.22091	64.37826	18.638177	1.325625	0	48.149098	330.149505	-29.46798	87.98186	0.879908	27.728823	-33.24032	47.36447	-47.26919	340.084048	-112.586355	75.638085
8	1	10482481	10483779	1298	2	9.517143	0.817777	0	126.301391	395.789665	-175.716075	1092.406035	-5.036477	136.771852	-147.63488	64.99299	-131.337867	415.15131	-1027.413045	162.858525	5.88604	0.912519	0.31339	161.390612	465.245844	-175.716075	1092.406035	20.748946	157.60911	-74.57579	132.53158	-140.641665	493.572177	-1027.413045	174.26911	7.573077	1.837522	0.120769	37.78367	224.400278	-35.34222	18.683995	3.001095	78.761354	-12.85755	47.12692	-34.782576	239.50441	-103.529555	70.569925	0	0	0	7	0.005389	0.511932	0.705928	0	9.843305	0.737528	0	42.861586	248.203291	-41.73753	15.512775	5.408449	86.676351	-12.32917	50.97165	-37.453136	264.793473	-23.523565	82.46914	14.521368	1.84978	0	49.034551	288.848134	-71.982415	18.683995	6.181481	107.235965	-52.71732	132.53158	-42.85307	309.677605	-318.797915	162.858525
9	1	11682894	11683189	295	1	11.934286	1.419763	0.002857	162.626057	146.251585	-75.13085	283.13184	15.528165	167.826646	-140.74942	244.54483	-147.097892	251.021226	-396.14539	252.07721	2.79798	1.317603	0.942761	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	2.79798	1.317603	0.942761	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	0	0	0	0	0	0.554054	0.135135	0	2.79798	1.317603	0.942761	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	15.695157	1.35265	0	53.872874	125.055139	-55.900455	277.771595	12.173326	102.844294	-76.94781	59.75691	-41.699547	176.875204	-358.666645	96.71891
10	1	19151770	19152035	265	1	8.04	1.085777	0.037143	158.427251	223.652162	-144.313245	494.83519	-18.780386	97.651217	-216.64493	96.18166	-177.207637	160.264254	-398.65353	9.07798	3.505618	1.482659	0.891386	124.321268	179.837552	-6.2732	494.83519	13.62959	58.558341	-72.77956	96.18166	-110.691678	160.160911	-381.42909	26.8996	3.505618	1.482659	0.891386	124.321268	179.837552	-6.2732	494.83519	13.62959	58.558341	-72.77956	96.18166	-110.691678	160.160911	-381.42909	26.8996	0	0	0	1	0.003759	0.466165	0.492481	0.43985	3.505618	1.482659	0.891386	124.321268	179.837552	-6.2732	494.83519	13.62959	58.558341	-72.77956	96.18166	-110.691678	160.160911	-381.42909	26.8996	7.25641	2.962105	0.267806	97.925834	149.653556	-3.561885	243.11514	1.905486	66.663195	-81.29637	96.18166	-96.020348	145.280457	-308.16918	26.8996
