Index	Chr	Start	End	SV_size	SV_Cat	Info	L_Cov	L_Cov_sd	L_Cov_pro	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	82838	91667	8829	2	yes	2.174286	0.582379	1	26.222551	105.027568	-53.503155	138.59429	27.887182	179.168183	-106.60175	176.78993	1.664631	240.136559	-227.746165	211.055945	2.555556	0.730297	1	32.050226	101.299436	-46.46754	138.59429	22.062593	133.603726	-101.25732	176.78993	-9.987633	194.763365	-227.746165	211.055945	2.194696	1.049701	0.997961	33.251332	98.172149	-47.42064	201.427275	16.054222	92.998648	-65.68783	119.72856	-17.197111	152.025431	-219.327835	124.86736	0	19	0.002152	40	0.00453	0.400453	0.654134	0.02684	1.062678	0.340676	1	69.082911	125.274319	-58.527045	237.875455	16.914395	109.295581	-85.41813	127.71308	-52.168517	187.86352	-301.922405	135.08658	1.501425	0.523039	1	45.595057	113.655889	-59.24367	217.957525	16.300956	111.155043	-85.41813	128.17493	-29.294102	176.794546	-254.61115	153.281155
2	1	2041460	2041556	96	0	asm	20.257143	1.954245	0	47.474867	83.568734	-28.875905	153.522175	89.552764	269.427803	-72.33319	368.61038	42.077897	297.594226	-180.096335	224.19496	13.642857	2.496389	0	62.748814	87.643632	-28.875905	233.791835	125.492482	293.014188	-72.33319	684.63183	62.743667	332.597305	-200.469225	713.507735	13.642857	2.496389	0	62.748814	87.643632	-28.875905	233.791835	125.492482	293.014188	-72.33319	684.63183	62.743667	332.597305	-200.469225	713.507735	1	1	0.010309	0	0	0.618557	0	0	13.642857	2.496389	0	62.748814	87.643632	-28.875905	233.791835	125.492482	293.014188	-72.33319	684.63183	62.743667	332.597305	-200.469225	713.507735	12.176638	3.081302	0.008547	59.248814	87.888858	-48.32043	153.522175	123.787575	285.039779	-72.33319	368.61038	64.53876	324.416931	-200.469225	224.19496
3	1	2566130	2566582	452	1	yes	16.882857	1.073512	0	172.025923	224.125491	-64.659885	402.302285	137.468839	267.854719	-106.85543	517.6856	-34.557084	413.433313	-440.353935	370.09533	8.586895	2.341611	0.011396	169.741865	225.491063	-64.659885	402.302285	137.724031	267.750766	-106.85543	517.6856	-32.017835	413.58877	-440.353935	370.09533	8.279736	2.184368	0.022026	169.741865	225.491063	-64.659885	402.302285	137.724031	267.750766	-106.85543	517.6856	-32.017835	413.58877	-440.353935	370.09533	0	0	0	5	0.011038	0.591612	0	0	7.245014	0.908576	0.02849	191.990755	229.925827	-64.659885	402.302285	161.062043	273.08495	-66.03514	517.6856	-30.928712	438.392438	-440.353935	370.09533	15.202279	3.057842	0.002849	158.559213	204.800508	-48.23659	355.51399	110.172374	246.032683	-63.03742	376.19209	-48.386839	373.589942	-421.54913	367.647905
4	1	2911536	2911850	314	1	asm	17.622857	1.135791	0	69.873478	176.762783	-95.17078	261.217895	-0.719807	139.52787	-154.68729	179.3403	-70.593285	215.062136	-269.04007	54.73027	11.458861	1.324333	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	11.458861	1.324333	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	1	1	0.003175	0	0	0.542857	1	0	11.458861	1.324333	0	18.800938	98.677923	-48.30218	122.93098	-4.22423	75.978074	-57.07913	12.85646	-23.025168	124.930723	-141.05926	15.113985	15.321937	1.790946	0	27.489715	116.584417	-57.77027	233.041255	-7.383801	89.779367	-64.82078	11.68343	-34.873516	147.067792	-243.492865	16.791755
5	1	2919031	2919366	335	1	yes	12.148571	1.120625	0	144.567571	192.031671	-60.70468	335.400285	-11.341939	201.365097	-196.51915	79.1128	-155.909509	357.665107	-539.312795	104.53116	2.848665	1.004872	0.982196	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	2.848665	1.004872	0.982196	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	0	0	0	0	0	0.589286	0.872024	0	2.848665	1.004872	0.982196	176.743914	185.659863	-33.556135	335.400285	-57.434618	103.090304	-196.51915	43.82648	-234.178532	268.421254	-539.312795	65.3276	8.974359	1.149869	0.014245	151.184862	182.755659	-33.556135	335.400285	-73.240399	86.890267	-196.51915	19.96703	-224.425261	244.345604	-539.312795	4.96162
6	1	7570071	7571526	1455	2	yes	15.634286	1.647424	0	76.757254	294.040783	-70.924125	105.26081	-54.605613	44.651832	-96.23766	-9.862	-131.362867	310.293556	-201.49847	-9.838735	5.532764	1.299861	0.404558	131.844457	404.636359	-70.924125	105.26081	-63.227309	46.672665	-104.36306	-20.9584	-195.071766	420.163017	-201.49847	-12.801125	4.147563	1.170632	0.856555	115.799485	391.705377	-76.740185	105.26081	-48.020292	70.732618	-104.36306	60.25623	-163.819777	417.758874	-201.49847	103.677535	0	0	0	3	0.00206	0.504121	0.134615	0	3.008547	0.342154	1	255.157702	646.664009	-85.0177	1403.20971	-50.995972	104.031969	-105.1178	134.46391	-306.153674	687.36853	-1507.57277	211.204095	5.789174	0.610384	0.153846	150.722248	553.883802	-112.222545	1403.20971	-14.691601	96.990817	-105.1178	134.46391	-165.413849	601.691489	-1507.57277	212.017415
7	1	9595612	9597666	2054	2	yes	15.105714	0.934976	0	27.240151	235.421898	-20.594625	6.59208	-8.304692	44.420666	-44.05252	7.15375	-35.544843	248.439852	-54.748625	19.932375	9.672365	1.639967	0	28.14648	247.649372	-22.78133	7.29145	-4.576545	48.36866	-49.11693	18.08532	-32.723025	261.924498	-54.748625	46.491325	7.608949	2.630126	0.140078	11.424302	168.10331	-18.253955	5.439	-1.614418	34.580089	-24.13632	17.0983	-13.03872	178.288493	-15.13187	23.94412	0	0	0	8	0.003893	0.445255	0.899757	0.021898	10.378917	4.047787	0.011396	28.379069	274.418366	-27.19113	3.640305	0.307761	23.558647	-24.13632	33.18161	-28.071307	281.970376	-11.999465	57.069465	18.521368	1.341204	0	39.342324	299.997027	-27.712975	7.968145	0.518404	25.173962	-28.35198	34.91028	-38.82392	308.938661	-20.41127	64.820615
8	1	10482480	10483779	1299	2	yes	9.52	0.814201	0	126.301391	395.789665	-175.716075	1092.406035	-5.036477	136.771852	-147.63488	64.99299	-131.337867	415.15131	-1027.413045	162.858525	5.888889	0.917554	0.31339	155.255145	447.582871	-175.716075	1092.406035	8.72153	157.971631	-147.63488	132.53158	-146.533615	474.720976	-1027.413045	174.26911	7.573405	1.836853	0.120676	38.412177	222.543711	-35.34222	18.683995	0.490495	80.476058	-14.82909	38.32053	-37.921682	238.707684	-157.564405	53.51289	0	0	0	7	0.005385	0.512308	0.706154	0	9.843305	0.737528	0	42.861586	248.203291	-41.73753	15.512775	5.408449	86.676351	-12.32917	50.97165	-37.453136	264.793473	-23.523565	82.46914	14.521368	1.84978	0	49.034551	288.848134	-71.982415	18.683995	6.181481	107.235965	-52.71732	132.53158	-42.85307	309.677605	-318.797915	162.858525
9	1	11682893	11683189	296	1	asm	11.945714	1.395827	0.002857	162.626057	146.251585	-75.13085	283.13184	15.528165	167.826646	-140.74942	244.54483	-147.097892	251.021226	-396.14539	252.07721	2.808725	1.328397	0.939597	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	2.808725	1.328397	0.939597	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	0	0	0	0	0	0.555556	0.13468	0	2.808725	1.328397	0.939597	175.582345	151.248491	-53.592745	283.13184	26.699253	178.132025	-140.74942	244.54483	-148.883092	276.144895	-396.14539	252.07721	15.695157	1.35265	0	53.872874	125.055139	-55.900455	277.771595	12.173326	102.844294	-76.94781	59.75691	-41.699547	176.875204	-358.666645	96.71891
10	1	13419174	13419574	400	1	asm	6.937143	0.695085	0.04	28.990137	177.291853	-87.789295	265.635325	37.562082	180.445626	-82.05355	205.26644	8.571945	261.111846	-227.802965	242.192735	6.97151	0.877847	0.042735	28.362293	167.955658	-83.652695	154.53755	28.248086	162.844986	-78.14126	190.18628	-0.114207	238.517791	-201.822155	225.93214	6.940299	0.902431	0.052239	26.969276	163.683085	-82.381155	143.030195	27.574785	158.870241	-78.14126	174.91848	0.605509	232.52234	-201.822155	213.540445	0	0	0	0	0	0.376559	0.698254	0	6.968661	0.929908	0.054131	27.440726	164.96826	-83.652695	143.030195	27.881532	160.095776	-78.14126	174.91848	0.440806	234.312388	-201.822155	213.540445	7.054131	0.953147	0.054131	27.831978	161.79196	-76.893045	143.030195	25.121664	153.822606	-78.14126	171.4241	-2.710314	226.923594	-201.822155	193.312475
