variant	sample	allele	key	value
Deletion::X:14,218,823-14,223,675(4852)	X	amb	count	4150
Deletion::X:14,218,823-14,223,675(4852)	X	ref	count	3290
Deletion::X:14,218,823-14,223,675(4852)	X	amb	reason_alignmentScore_alignmentScore	297
Deletion::X:14,218,823-14,223,675(4852)	X	amb	reason_multimapping	3046
Deletion::X:14,218,823-14,223,675(4852)	X	amb	reason_orientation_alignmentScore	55
Deletion::X:14,218,823-14,223,675(4852)	X	amb	reason_orientation_orientation	139
Deletion::X:14,218,823-14,223,675(4852)	X	amb	reason_same_scores	613
Deletion::X:14,218,823-14,223,675(4852)	X	ref	reason_alignmentScore	3285
Deletion::X:14,218,823-14,223,675(4852)	X	ref	reason_orientation	5
Deletion::X:14,218,823-14,223,675(4852)	X	amb	alnScore_mean	387.59373494
Deletion::X:14,218,823-14,223,675(4852)	X	amb	alnScore_std	39.8926784269
Deletion::X:14,218,823-14,223,675(4852)	X	ref	alnScore_mean	401.19787234
Deletion::X:14,218,823-14,223,675(4852)	X	ref	alnScore_std	4.77519506139
Deletion::X:14,218,823-14,223,675(4852)	X	amb	insertSize_mean	366.509879518
Deletion::X:14,218,823-14,223,675(4852)	X	amb	insertSize_std	395.463143179
Deletion::X:14,218,823-14,223,675(4852)	X	ref	insertSize_mean	320.862917933
Deletion::X:14,218,823-14,223,675(4852)	X	ref	insertSize_std	74.3616709616
Deletion::X:14,462,281-14,462,507(226)	X	alt	count	2
Deletion::X:14,462,281-14,462,507(226)	X	amb	count	1292
Deletion::X:14,462,281-14,462,507(226)	X	ref	count	415
Deletion::X:14,462,281-14,462,507(226)	X	alt	reason_insertSizeScore	2
Deletion::X:14,462,281-14,462,507(226)	X	amb	reason_alignmentScore_alignmentScore	265
Deletion::X:14,462,281-14,462,507(226)	X	amb	reason_multimapping	328
Deletion::X:14,462,281-14,462,507(226)	X	amb	reason_orientation_alignmentScore	1
Deletion::X:14,462,281-14,462,507(226)	X	amb	reason_orientation_orientation	5
Deletion::X:14,462,281-14,462,507(226)	X	amb	reason_same_scores	693
Deletion::X:14,462,281-14,462,507(226)	X	ref	reason_alignmentScore	415
Deletion::X:14,462,281-14,462,507(226)	X	alt	alnScore_mean	393.0
Deletion::X:14,462,281-14,462,507(226)	X	alt	alnScore_std	11.0
Deletion::X:14,462,281-14,462,507(226)	X	amb	alnScore_mean	359.19504644
Deletion::X:14,462,281-14,462,507(226)	X	amb	alnScore_std	65.7420777008
Deletion::X:14,462,281-14,462,507(226)	X	ref	alnScore_mean	401.479518072
Deletion::X:14,462,281-14,462,507(226)	X	ref	alnScore_std	4.20429381879
Deletion::X:14,462,281-14,462,507(226)	X	alt	insertSize_mean	460.5
Deletion::X:14,462,281-14,462,507(226)	X	alt	insertSize_std	140.5
Deletion::X:14,462,281-14,462,507(226)	X	amb	insertSize_mean	353.645510836
Deletion::X:14,462,281-14,462,507(226)	X	amb	insertSize_std	170.38868706
Deletion::X:14,462,281-14,462,507(226)	X	ref	insertSize_mean	330.108433735
Deletion::X:14,462,281-14,462,507(226)	X	ref	insertSize_std	72.0632272664
Deletion::X:14,837,921-14,838,223(302)	X	alt	count	1
Deletion::X:14,837,921-14,838,223(302)	X	amb	count	1245
Deletion::X:14,837,921-14,838,223(302)	X	ref	count	541
Deletion::X:14,837,921-14,838,223(302)	X	alt	reason_insertSizeScore	1
Deletion::X:14,837,921-14,838,223(302)	X	amb	reason_alignmentScore_alignmentScore	277
Deletion::X:14,837,921-14,838,223(302)	X	amb	reason_multimapping	240
Deletion::X:14,837,921-14,838,223(302)	X	amb	reason_orientation_orientation	3
Deletion::X:14,837,921-14,838,223(302)	X	amb	reason_same_scores	725
Deletion::X:14,837,921-14,838,223(302)	X	ref	reason_alignmentScore	541
Deletion::X:14,837,921-14,838,223(302)	X	alt	alnScore_mean	398.0
Deletion::X:14,837,921-14,838,223(302)	X	alt	alnScore_std	0.0
Deletion::X:14,837,921-14,838,223(302)	X	amb	alnScore_mean	358.59437751
Deletion::X:14,837,921-14,838,223(302)	X	amb	alnScore_std	66.2264713733
Deletion::X:14,837,921-14,838,223(302)	X	ref	alnScore_mean	401.092421442
Deletion::X:14,837,921-14,838,223(302)	X	ref	alnScore_std	4.92445309797
Deletion::X:14,837,921-14,838,223(302)	X	alt	insertSize_mean	376.0
Deletion::X:14,837,921-14,838,223(302)	X	alt	insertSize_std	0.0
Deletion::X:14,837,921-14,838,223(302)	X	amb	insertSize_mean	364.487550201
Deletion::X:14,837,921-14,838,223(302)	X	amb	insertSize_std	247.948386676
Deletion::X:14,837,921-14,838,223(302)	X	ref	insertSize_mean	333.20702403
Deletion::X:14,837,921-14,838,223(302)	X	ref	insertSize_std	73.7232273948
Deletion::X:20,762,141-20,763,281(1140)	X	amb	count	1697
Deletion::X:20,762,141-20,763,281(1140)	X	ref	count	1111
Deletion::X:20,762,141-20,763,281(1140)	X	amb	reason_alignmentScore_alignmentScore	255
Deletion::X:20,762,141-20,763,281(1140)	X	amb	reason_multimapping	725
Deletion::X:20,762,141-20,763,281(1140)	X	amb	reason_orientation_alignmentScore	1
Deletion::X:20,762,141-20,763,281(1140)	X	amb	reason_orientation_orientation	2
Deletion::X:20,762,141-20,763,281(1140)	X	amb	reason_same_scores	714
Deletion::X:20,762,141-20,763,281(1140)	X	ref	reason_alignmentScore	1111
Deletion::X:20,762,141-20,763,281(1140)	X	amb	alnScore_mean	366.691809075
Deletion::X:20,762,141-20,763,281(1140)	X	amb	alnScore_std	61.8432152633
Deletion::X:20,762,141-20,763,281(1140)	X	ref	alnScore_mean	401.568856886
Deletion::X:20,762,141-20,763,281(1140)	X	ref	alnScore_std	3.5789265255
Deletion::X:20,762,141-20,763,281(1140)	X	amb	insertSize_mean	436.148497348
Deletion::X:20,762,141-20,763,281(1140)	X	amb	insertSize_std	384.365401258
